epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.3863,1.29801,1.58323,0.9396,0.4873,0.61668,0.51981,0.35437,0.976,1.1193,0.83621,0.000413889,0.000413889,0.000413889
2,107.177,1.14009,1.15462,0.89504,0.47965,0.59729,0.54067,0.35825,1.06659,1.07218,0.84567,0.000822333,0.000822333,0.000822333
3,158.021,1.12279,1.11058,0.89176,0.49793,0.62175,0.54559,0.38609,0.91243,1.04645,0.84171,0.00122253,0.00122253,0.00122253
4,208.363,1.10863,1.07615,0.89178,0.5114,0.61019,0.55935,0.38974,0.90536,1.02226,0.83222,0.00121287,0.00121287,0.00121287
5,259.559,1.06408,1.052,0.88356,0.48933,0.65636,0.58441,0.40344,0.93169,1.09563,0.83659,0.0012005,0.0012005,0.0012005
6,312.044,1.05424,1.03451,0.87806,0.56277,0.60884,0.57233,0.41269,0.86844,1.01074,0.83071,0.00118812,0.00118812,0.00118812
7,363.517,1.02676,1.00588,0.87109,0.53858,0.63348,0.61021,0.43836,0.82648,1.05908,0.8259,0.00117575,0.00117575,0.00117575
8,414.618,1.00994,0.97676,0.86956,0.51329,0.65671,0.5903,0.42896,0.83082,1.04728,0.82013,0.00116337,0.00116337,0.00116337
9,465.576,0.99857,0.97546,0.86716,0.55454,0.61364,0.59568,0.44055,0.8072,0.9553,0.82215,0.001151,0.001151,0.001151
10,517.625,0.98392,0.96085,0.86525,0.549,0.62086,0.59075,0.43548,0.84275,0.98947,0.82551,0.00113863,0.00113863,0.00113863
11,569.482,0.97612,0.94802,0.86526,0.57705,0.63284,0.63836,0.47664,0.80955,0.9291,0.8201,0.00112625,0.00112625,0.00112625
12,621.338,0.97142,0.9447,0.86158,0.52095,0.64798,0.59196,0.43851,0.81642,0.98968,0.82189,0.00111388,0.00111388,0.00111388
